# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.9789436875101291,3.473234989752227,4.765566550982665,0.8010671755621619,2.936831062530391,2.999999999999975,0.0011254879654749167,0.0,0.18994456646089256,0.0
 0.9878593828622865,3.4995355335931393,4.765935067195001,0.8027606634505249,2.963578148586863,2.999999999999975,0.001048405086156744,0.0,0.17854762924117115,0.0
 0.9967220460195139,3.525915948952873,4.76630543126924,0.8043430709460109,2.990166138058545,2.9999999999999876,0.0009729977792036393,0.0,0.16719279927796807,0.0
 1.0055319386098418,3.552372795968278,4.766677548677429,0.805816021549526,3.016595815829529,3.0000000000000253,0.0008991541823029415,0.0,0.15587025345688127,0.0
 1.0142893049065116,3.578902634776202,4.767051324891616,0.8071810344538027,3.0428679147195385,3.0000000000000253,0.0008267638567929565,0.0,0.14457022046120171,0.0
 1.0229943727010933,3.605502025513492,4.767426665383849,0.8084395280239951,3.068983118103284,3.0000000000000253,0.0007557229701448693,0.0,0.13328295909857452,0.0
 1.0316473541188673,3.632167528316997,4.767803475626175,0.809592822992381,3.0949420623566057,2.9999999999999742,0.0006859361322064395,0.0,0.12199874342185228,0.0
 1.040248446380856,3.658895703323565,4.768181661090643,0.810642145440399,3.1207453391425712,2.9999999999999742,0.0006173007289317524,0.0,0.11070784200034992,0.0
 1.0487978325165133,3.685683110670044,4.768561127249302,0.8115886295299053,3.146393497549543,2.9999999999999742,0.0005497302509086412,0.0,0.09940050154518333,0.0
 1.05729568203073,3.7125263104932817,4.768941779574198,0.812433320033674,3.171887046092193,2.999999999999974,0.0004831309360857413,0.0,0.08806692951480881,0.0
 1.0657421515284984,3.7394218629301266,4.7693235235373805,0.8131771746675829,3.1972264545854983,3.0,0.00041741876840271615,0.0,0.0766972722637963,0.0
 1.0741373853003013,3.766366328117426,4.769706264610898,0.8138210661978971,3.222412155900907,3.0,0.0003525106046009024,0.0,0.06528159870478636,0.0
 1.082481515871031,3.7933562661920295,4.770089908266796,0.8143657843813559,3.2474445476130964,3.0000000000000266,0.0002883235001212667,0.0,0.05380988354321685,0.0
 1.0907746645150138,3.8203882372907834,4.7704743599771255,0.8148120377440952,3.2723239935450446,2.9999999999999734,0.00022476688846464275,0.0,0.042271979181469736,0.0
 1.0990169417395057,3.8474588015505367,4.770859525213932,0.8151604551153367,3.29705082521852,3.0,0.00016179468652253046,0.0,0.03065760951054335,0.0
 1.1072084477388322,3.8745645191081377,4.771245309449266,0.8154115871075673,3.3216253432165,3.000000000000054,0.0000993024545051131,0.0,0.01895633400202719,0.0
 1.1153492728211722,3.9017019501004335,4.7716316181551734,0.8155659073068803,3.3460478184635205,3.000000000000027,0.00003723203787445103,0.0,0.007157540480227665,0.0
 1.12343949780983,3.928867654664274,4.772018356803703,0.8156238134197308,3.3703184934294943,3.0000000000000275,-0.000024548403480669705,0.0,-0.004749585088155655,0.0
 1.1314791944206903,3.9560581929365046,4.772405430866904,0.8155856281965945,3.3944375832620746,2.999999999999945,-0.00008597845338195131,0.0,-0.01677607871412873,0.0
 1.1394684256174263,3.9832701250539757,4.7727927458168224,0.8154516002251727,3.4184052768522823,2.999999999999972,-0.00014725189925526516,0.0,-0.0289332185069503,0.0
 1.147407245945905,4.0105000111535345,4.773180207125508,0.8152219046019215,3.4422217378377185,3.0,-0.00020840241777403805,0.0,-0.04123255340997343,0.0
 1.1552957018491272,4.037744411372029,4.773567720265008,0.8148966434225696,3.4658871055473854,3.0000000000000564,-0.0002694903376399793,0.0,-0.053685925209964784,0.0
 1.1631338319639397,4.064999885846307,4.77395519070737,0.8144758461554398,3.4894014958918227,2.9999999999999716,-0.0003305901830180305,0.0,-0.066305492364293,0.0
 1.1709216674006622,4.0922629947132165,4.774342523924643,0.8139594698923558,3.51276500220199,3.0,-0.0003917654899896079,0.0,-0.07910376446029245,0.0
 1.1786592320066909,4.119530298109606,4.774729625388875,0.8133473994042643,3.5359776960200757,2.9999999999999427,-0.0004530973805055214,0.0,-0.09209362153878008,0.0
 1.1863465426150615,4.146798356172324,4.775116400572113,0.8126394471304459,3.5590396278451877,3.000000000000029,-0.0005146448575532587,0.0,-0.1052883501970871,0.0
 1.1939836092788807,4.1740637290382185,4.775502754946406,0.8118353529810672,3.581950827836645,2.999999999999942,-0.0005764852163573944,0.0,-0.11870167250632865,0.0
 1.2015704354924766,4.2013229768441365,4.775888593983802,0.8109347840204986,3.6047113064774323,2.9999999999999707,-0.0006386860486209739,0.0,-0.13225568175059355,0.0
 1.2091122665176461,4.228572659726927,4.776273823156348,0.8099373340166169,3.6222885165299537,2.330628993656893,-0.0007013194768540076,0.0,-0.1451329691819815,0.0
 1.2166557708144363,4.255809337823437,4.776658347936094,0.8088425228399867,3.599658003639583,-3.0,-0.0007644551343562541,0.0,-0.15721435090247451,0.0
 1.224242400829008,4.283029571270515,4.777042073795085,0.8076497957267086,3.576898113595868,-2.9999999999999707,-0.000828169650177516,0.0,-0.16924486165406713,0.0
 1.231872016935593,4.310229920205011,4.777424906205372,0.806358522404276,3.554009265276113,-3.000000000000058,-0.0008925367320663468,0.0,-0.18123596330688277,0.0
 1.2395444806089515,4.337406944763771,4.777806750639002,0.8049679960594979,3.530991874256037,-3.000000000000029,-0.0009576284023934744,0.0,-0.1931990041725418,0.0
 1.247259654409508,4.364557205083643,4.778187512568023,0.8034774321642122,3.5078463528543673,-3.000000000000029,-0.001023526675229347,0.0,-0.20514524453343164,0.0
 1.2550174019686624,4.391677261301476,4.7785670974644825,0.8018859671441608,3.4845731101769037,-3.0000000000000573,-0.0010903107635116482,0.0,-0.21708588049214164,0.0
 1.2628175879742733,4.418763673554118,4.7789454108004294,0.8001926568971304,3.4611725521600705,-3.000000000000057,-0.001158060605831076,0.0,-0.22903207022850613,0.0
 1.2706600781563064,4.445813001978416,4.779322358047911,0.7983964751349926,3.4376450816139714,-2.9999999999999716,-0.0012268604791234108,0.0,-0.2409949563007301,0.0
 1.2785447392726363,4.472821806711218,4.779697844678976,0.7964963115738165,3.4139910982649817,-3.0,-0.0012967972229049477,0.0,-0.25298569318361336,0.0
